Code	occurrence	BR_edg_2	SC_edg_1	TM_edg_2	TR_edg_1	BB_edg_1	BB_edg_2	P1_edg_1	P1_edg_2	P2_edg_4	P2_edg_5	P3_edg_1	P3_edg_2	KR_edg_2	KR_edg_3	KR_edg_4	D1_edg_1	D1_edg_2	D1_edg_4	D1_edg_5	D2_edg_1	D2_edg_3	D2_edg_4	D2_edg_5	BR_int_2	SC_int_1	TM_int_1	TR_int_1	BB_int_1	BB_int_3	P1_int_1	P1_int_2	P2_int_1	P2_int_2	P3_int_1	P3_int_2	KR_int_1	KR_int_2	KR_int_3	D1_int_1	D1_int_6	D1_int_9	D1_int_10	D2_int_1	D2_int_2	D2_int_4	D2_int_6
chrisubp	5	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
cinniner	41	2	3	2	4	2	0	4	2	3	2	3	3	3	0	1	4	4	4	2	3	4	4	4	3	4	2	4	4	3	3	3	3	1	1	3	0	0	0	4	2	2	2	4	4	4	4
cisshast	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
claoindi	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0
clauexca	25	3	1	0	0	0	2	2	3	1	0	4	3	3	1	3	1	0	0	0	3	4	3	3	0	3	0	0	1	0	0	2	0	0	4	3	0	0	0	0	0	0	0	2	4	3	1
clerlaev	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
clervill	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clidhirt	10	0	0	0	0	2	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
coloescu	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corddich	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
costspec	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
derrtrif	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dicrline	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
diefsegu	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
dillsuff	12	0	0	0	0	0	4	0	0	0	0	0	0	2	4	4	4	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	1
dimolong	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
diossans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
diosbulb	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
diplsp	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dracfrag	4	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
dracsand	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dracsurc	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
